Data Date,Close,Ticker
2010-12,22.40181818181818,DCO
2011-12,12.785238095238096,DCO
2012-12,16.132,DCO
2013-03,17.586000000000006,DCO
2013-06,20.5105,DCO
2013-09,27.333999999999996,DCO
2013-12,27.347142857142856,DCO
2014-03,25.249047619047616,DCO
2014-06,25.697619047619053,DCO
2014-09,28.433809523809526,DCO
2014-12,25.28681818181818,DCO
2015-12,15.92545454545454,DCO
2016-12,27.236666666666657,DCO
2017-12,27.514500000000005,DCO
2018-12,36.714736842105275,DCO
2019-12,49.74571428571428,DCO
2020-12,52.90590909090909,DCO
