Data Date,Close,Ticker
2010-12,21.044090909090908,HNGR
2011-12,17.16142857142857,HNGR
2013-03,30.579499999999996,HNGR
2013-06,31.939500000000002,HNGR
2013-09,31.788999999999994,HNGR
2013-12,38.61,HNGR
2014-03,34.77761904761904,HNGR
2014-06,31.586190476190477,HNGR
2014-09,22.06142857142857,HNGR
2014-12,21.774090909090905,HNGR
2015-03,25.039545454545454,HNGR
2015-06,23.226363636363633,HNGR
2015-09,15.925238095238099,HNGR
2015-12,16.21318181818182,HNGR
2016-03,5.618181818181818,HNGR
2016-06,7.146818181818182,HNGR
2016-09,8.799047619047618,HNGR
2016-12,10.33,HNGR
2017-03,13.297391304347824,HNGR
2017-06,11.825909090909091,HNGR
2017-09,11.102500000000001,HNGR
2017-12,15.091,HNGR
2018-12,19.28473684210526,HNGR
2019-12,26.92476190476191,HNGR
2020-12,22.944090909090907,HNGR
